item_id,name,category,subcategory,brand,price,image_url
3,Maybelline Fit Me Matte + Poreless Foundation,Makeup,foundation,Maybelline,7.99,
4,NARS Natural Radiant Longwear Foundation,Makeup,foundation,NARS,49.00,
5,MAC Matte Lipstick - Ruby Woo,Makeup,Lipstick,MAC,19.00,
6,Charlotte Tilbury Matte Revolution Lipstick - Pillow Talk,Makeup,Lipstick,Charlotte Tilbury,34.00,
7,Dior Rouge Dior Lipstick,Makeup,Lipstick,Dior,42.00,
8,NYX Professional Makeup Soft Matte Lip Cream,Makeup,Lipstick,NYX,6.50,
9,The Ordinary Hyaluronic Acid B5,Skin Care,Serum & Lotion,The Ordinary,8.90,
10,Estee Lauder Advanced Night Repair Serum,Skin Care,Serum & Lotion,Estee Lauder,75.00,
11,Drunk Elephant C-Firma Fresh Day Serum,Skin Care,Serum & Lotion,Drunk Elephant,78.00,
12,La Roche-Posay Hyalu B5 Serum,Skin Care,serum,La Roche-Posay,29.99,
13,CeraVe Moisturizing Cream,Skin Care,Moisturizer,CeraVe,16.99,
14,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,Skin Care,Moisturizer,Clinique,39.00,
15,Neutrogena Hydro Boost Water Gel,Skin Care,Moisturizer,Neutrogena,18.99,
16,Tatcha The Dewy Skin Cream,Skin Care,moisturizer,Tatcha,69.00,
17,Olaplex No.4 Bond Maintenance Shampoo,Hair,Shampoo,Olaplex,30.00,
18,Moroccanoil Moisture Repair Shampoo,Hair,Shampoo,Moroccanoil,24.00,
19,Pantene Pro-V Daily Moisture Renewal Shampoo,Hair,Shampoo,Pantene,5.99,
20,"Briogeo Don't Despair, Repair! Super Moisture Shampoo",Hair,shampoo,Briogeo,36.00,
21,Olaplex No.5 Bond Maintenance Conditioner,Hair,conditioner,Olaplex,30.00,
22,Moroccanoil Hydrating Conditioner,Hair,conditioner,Moroccanoil,24.00,
23,Herbal Essences Hello Hydration Conditioner,Hair,conditioner,Herbal Essences,4.99,
24,Living Proof Restore Conditioner,Hair,conditioner,Living Proof,32.00,
25,Real Techniques Everyday Essentials Brush Set,accessories,Brushes,Real Techniques,19.99,
26,Sigma Beauty Essential Kit,accessories,Brushes,Sigma Beauty,160.00,
27,EcoTools Start the Day Beautifully Kit,accessories,Brushes,EcoTools,12.99,
41,Urban Decay Naked3 Eyeshadow Palette,Makeup,eyeshadow,Urban Decay,54.00,
42,Huda Beauty Rose Quartz Eyeshadow Palette,Makeup,eyeshadow,Huda Beauty,67.00,
43,Anastasia Beverly Hills Soft Glam Palette,Makeup,eyeshadow,Anastasia Beverly Hills,45.00,
44,NYX Professional Makeup Ultimate Shadow Palette,Makeup,eyeshadow,NYX,18.00,
45,CeraVe Hydrating Facial Cleanser,Skin Care,Cleanser,CeraVe,14.99,
46,La Roche-Posay Toleriane Hydrating Gentle Cleanser,Skin Care,Cleanser,La Roche-Posay,15.99,
47,Neutrogena Ultra Gentle Hydrating Cleanser,Skin Care,Cleanser,Neutrogena,8.99,
48,Fresh Soy Face Cleanser,Skin Care,cleanser,Fresh,38.00,
49,Olaplex No.8 Bond Intense Moisture Mask,Hair,hair mask,Olaplex,30.00,
50,Moroccanoil Intense Hydrating Mask,Hair,hair mask,Moroccanoil,38.00,
51,"Briogeo Don't Despair, Repair! Deep Conditioning Mask",Hair,hair mask,Briogeo,39.00,
52,SheaMoisture Manuka Honey & Mafura Oil Hair Mask,Hair,hair mask,SheaMoisture,12.99,
53,Simplehuman Sensor Mirror,accessories,mirrors,Simplehuman,200.00,
54,Fancii LED Lighted Vanity Mirror,accessories,mirrors,Fancii,39.99,
55,Conair Reflections LED Lighted Mirror,accessories,mirrors,Conair,49.99,
61,Too Faced Better Than Sex Mascara,Makeup,Mascara,Too Faced,28.00,
62,Maybelline Lash Sensational Mascara,Makeup,Mascara,Maybelline,9.99,
63,Benefit Cosmetics They're Real! Mascara,Makeup,Mascara,Benefit Cosmetics,27.00,
64,L'Oreal Paris Voluminous Lash Paradise Mascara,Makeup,mascara,L'Oreal Paris,10.99,
65,Origins Clear Improvement Charcoal Mask,Skin Care,Facial Mask,Origins,27.00,
66,GlamGlow SuperMud Clearing Treatment,Skin Care,Facial Mask,GlamGlow,60.00,
67,The Body Shop Himalayan Charcoal Purifying Glow Mask,Skin Care,Facial Mask,The Body Shop,25.00,
68,Juice Beauty Stem Cellular Anti-Wrinkle Moisturizer,Skin Care,Organic Products,Juice Beauty,70.00,
69,Herbivore Botanicals Blue Tansy Mask,Skin Care,Organic Products,Herbivore Botanicals,48.00,
70,Dr. Bronner's Organic Lavender Hand & Body Lotion,Skin Care,Organic Products,Dr. Bronner's,10.99,
73,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 55,Skin Care,Sunblock,Neutrogena,12.99,images/sunblock-neutrogena.png
74,La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 100,Skin Care,Sunblock,La Roche-Posay,29.99,images/sunblock-laroche.png
75,Supergoop! Unseen Sunscreen SPF 40,Skin Care,Sunblock,Supergoop!,36.00,images/sunblock-supergoop.png
76,Good Genese - Serum avec l'acide glycolique,Skin Care,Serum & Lotion,Good Genese,99.90,
